
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
15.2                0.858769            0                   0                   0.604712            0                   0                   0                   
15.4                0.850781            0                   0                   0.612477            0                   0                   0                   
15.6                0.850781            0                   0                   0.62023             0                   0                   0                   
15.8                0.850781            0                   0                   0.627982            0                   0                   0                   
16                  0.850781            0                   0                   0.635734            0                   0                   0                   

		Y  FORCE DERIVATIVES
ALPHA (deg)         CYB                 CYBP                CYP                 CYR                 CYA                 CYQ                 
-5                  -0.158529           0                   -0.029382           0.066318            0                   0                   
-4.8                -0.158529           0                   -0.029382           0.066318            0                   0                   
-4.6                -0.158529           0                   -0.029382           0.066318            0                   0                   
-4.4                -0.158529           0                   -0.029382           0.066318            0                   0                   
-4.2                -0.158529           0                   -0.029382           0.066318            0                   0                   
-4                  -0.158529           0                   -0.029382           0.066318            0                   0                   
-3.8                -0.158529           0                   -0.029382           0.066318            0                   0                   
-3.6                -0.158529           0                   -0.029382           0.066318            0                   0                   
-3.4                -0.158529           0                   -0.029382           0.066318            0                   0                   
-3.2                -0.158529           0                   -0.029382           0.066318            0                   0                   
-3                  -0.158529           0                   -0.029382           0.066318            0                   0                   
-2.8                -0.158529           0                   -0.029382           0.066318            0                   0                   
-2.6                -0.158529           0                   -0.029382           0.066318            0                   0                   
-2.4                -0.158529           0                   -0.029382           0.066318            0                   0                   
-2.2                -0.158529           0                   -0.029382           0.066318            0                   0                   
-2                  -0.158529           0                   -0.029382           0.066318            0                   0                   
-1.8                -0.158529           0                   -0.029382           0.066318            0                   0                   
-1.6                -0.158529           0                   -0.029382           0.066318            0                   0                   
-1.4                -0.158529           0                   -0.029382           0.066318            0                   0                   
-1.2                -0.158529           0                   -0.029382           0.066318            0                   0                   
-1                  -0.158529           0                   -0.029382           0.066318            0                   0                   
-0.8                -0.158529           0                   -0.029382           0.066318            0                   0                   
-0.6                -0.158529           0                   -0.029382           0.066318            0                   0                   
-0.4                -0.158529           0                   -0.029382           0.066318            0                   0                   
-0.2                -0.158529           0                   -0.029382           0.066318            0                   0                   
0                   -0.158529           0                   -0.029382           0.066318            0                   0                   
0.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
0.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
0.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
0.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
1                   -0.158529           0                   -0.029382           0.066318            0                   0                   
1.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
1.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
1.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
1.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
2                   -0.158529           0                   -0.029382           0.066318            0                   0                   
2.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
2.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
2.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
2.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
3                   -0.158529           0                   -0.029382           0.066318            0                   0                   
3.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
3.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
3.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
3.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
4                   -0.158529           0                   -0.029382           0.066318            0                   0                   
4.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
4.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
4.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
4.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
5                   -0.158529           0                   -0.029382           0.066318            0                   0                   
5.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
5.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
5.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
5.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
6                   -0.158529           0                   -0.029382           0.066318            0                   0                   
6.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
6.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
6.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
6.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
7                   -0.158529           0                   -0.029382           0.066318            0                   0                   
7.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
7.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
7.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
7.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
8                   -0.158529           0                   -0.029382           0.066318            0                   0                   
8.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
8.4                 -0.158529           0                   -0.029382           0.066318            0                   0                   
8.6                 -0.158529           0                   -0.029382           0.066318            0                   0                   
8.8                 -0.158529           0                   -0.029382           0.066318            0                   0                   
9                   -0.158529           0                   -0.029382           0.066318            0                   0                   
9.2                 -0.158529           0                   -0.029382           0.066318            0                   0                   
